Id,company,date,state,event,nr_flag
1,AirBusan,2024-01-01,NR,,0
2,AirBusan,2024-02-01,NR,,0
3,AirBusan,2024-03-01,NR,,0
4,AirBusan,2024-04-01,NR,,0
5,AirBusan,2024-05-01,NR,,0
6,AirBusan,2024-06-01,NR,,0
7,AirBusan,2024-07-01,NR,,0
8,AirBusan,2024-08-01,NR,,0
9,AirBusan,2024-09-01,NR,,0
10,AirBusan,2024-10-01,NR,,0
11,AirBusan,2024-11-01,NR,,0
12,AirBusan,2024-12-01,NR,,0
13,AirBusan,2025-01-01,NR,,0
14,AirBusan,2025-02-01,NR,,0
15,AirBusan,2025-03-01,NR,,0
16,AirBusan,2025-04-01,NR,,0
17,AirBusan,2025-05-01,NR,,0
18,AirBusan,2025-06-01,NR,,0
19,AirBusan,2025-07-01,NR,,0
20,AirBusan,2025-08-01,NR,,0
21,AirBusan,2025-09-01,NR,,0
22,AirBusan,2025-10-01,NR,,0
23,AirBusan,2025-11-01,NR,,0
24,AirBusan,2025-12-01,NR,,0
25,AsianaAirlines,2024-01-01,BBB-,,0
26,AsianaAirlines,2024-02-01,BBB-,,0
27,AsianaAirlines,2024-03-01,BBB-,,0
28,AsianaAirlines,2024-04-01,BBB-,,0
29,AsianaAirlines,2024-05-01,BBB-,,0
30,AsianaAirlines,2024-06-01,BBB-,,0
31,AsianaAirlines,2024-07-01,BBB-,,0
32,AsianaAirlines,2024-08-01,BBB-,,0
33,AsianaAirlines,2024-09-01,BBB-,,0
34,AsianaAirlines,2024-10-01,BBB-,,0
35,AsianaAirlines,2024-11-01,BBB-,,0
36,AsianaAirlines,2024-12-01,BBB-,,0
37,AsianaAirlines,2025-01-01,BBB-,,0
38,AsianaAirlines,2025-02-01,BBB-,,0
39,AsianaAirlines,2025-03-01,BBB-,,0
40,AsianaAirlines,2025-04-01,BBB-,,0
41,AsianaAirlines,2025-05-01,BBB-,,0
42,AsianaAirlines,2025-06-01,BBB-,,0
43,AsianaAirlines,2025-07-01,BBB-,,0
44,AsianaAirlines,2025-08-01,BBB-,,0
45,AsianaAirlines,2025-09-01,BBB-,,0
46,AsianaAirlines,2025-10-01,BBB-,,0
47,AsianaAirlines,2025-11-01,BBB-,,0
48,AsianaAirlines,2025-12-01,BBB-,,0
49,JejuAir,2024-01-01,BBB,,0
50,JejuAir,2024-02-01,BBB,,0
51,JejuAir,2024-03-01,BBB,,0
52,JejuAir,2024-04-01,BBB,,0
53,JejuAir,2024-05-01,BBB,,0
54,JejuAir,2024-06-01,BBB,,0
55,JejuAir,2024-07-01,BBB,,0
56,JejuAir,2024-08-01,BBB,,0
57,JejuAir,2024-09-01,BBB,,0
58,JejuAir,2024-10-01,BBB,,0
59,JejuAir,2024-11-01,BBB,,0
60,JejuAir,2024-12-01,BBB,,0
61,JejuAir,2025-01-01,BBB,,0
62,JejuAir,2025-02-01,BBB,,0
63,JejuAir,2025-03-01,BBB,,0
64,JejuAir,2025-04-01,BBB,,0
65,JejuAir,2025-05-01,BBB,,0
66,JejuAir,2025-06-01,BBB,,0
67,JejuAir,2025-07-01,BBB,,0
68,JejuAir,2025-08-01,BBB,,0
69,JejuAir,2025-09-01,BBB,,0
70,JejuAir,2025-10-01,BBB,,0
71,JejuAir,2025-11-01,BBB,,0
72,JejuAir,2025-12-01,BBB,,0
73,KoreanAir,2024-01-01,A-,,0
74,KoreanAir,2024-02-01,A-,,0
75,KoreanAir,2024-03-01,A-,,0
76,KoreanAir,2024-04-01,A-,,0
77,KoreanAir,2024-05-01,A-,,0
78,KoreanAir,2024-06-01,A-,,0
79,KoreanAir,2024-07-01,A-,,0
80,KoreanAir,2024-08-01,A-,,0
81,KoreanAir,2024-09-01,A-,,0
82,KoreanAir,2024-10-01,A-,,0
83,KoreanAir,2024-11-01,A-,,0
84,KoreanAir,2024-12-01,A-,,0
85,KoreanAir,2025-01-01,A-,,0
86,KoreanAir,2025-02-01,A-,,0
87,KoreanAir,2025-03-01,A-,,0
88,KoreanAir,2025-04-01,A-,,0
89,KoreanAir,2025-05-01,A-,,0
90,KoreanAir,2025-06-01,A-,,0
91,KoreanAir,2025-07-01,A-,,0
92,KoreanAir,2025-08-01,A-,,0
93,KoreanAir,2025-09-01,A-,,0
94,KoreanAir,2025-10-01,A-,,0
95,KoreanAir,2025-11-01,A-,,0
96,KoreanAir,2025-12-01,A-,,0
97,TwayAir,2024-01-01,BB-,,0
98,TwayAir,2024-02-01,BB-,,0
99,TwayAir,2024-03-01,BB-,,0
100,TwayAir,2024-04-01,BB-,,0
101,TwayAir,2024-05-01,BB-,,0
102,TwayAir,2024-06-01,NR,,0
103,TwayAir,2024-07-01,NR,,0
104,TwayAir,2024-08-01,NR,,0
105,TwayAir,2024-09-01,NR,,0
106,TwayAir,2024-10-01,NR,,0
107,TwayAir,2024-11-01,NR,,0
108,TwayAir,2024-12-01,NR,,0
109,TwayAir,2025-01-01,BB-,,0
110,TwayAir,2025-02-01,BB-,,0
111,TwayAir,2025-03-01,BB-,,0
112,TwayAir,2025-04-01,BB-,,0
113,TwayAir,2025-05-01,BB-,,0
114,TwayAir,2025-06-01,BB-,,0
115,TwayAir,2025-07-01,BB-,,0
116,TwayAir,2025-08-01,BB-,,0
117,TwayAir,2025-09-01,BB-,,0
118,TwayAir,2025-10-01,BB-,,0
119,TwayAir,2025-11-01,BB-,,0
120,TwayAir,2025-12-01,BB-,,0
