Year,company,rating,date,rating_ffill,event,consecutive_nr_days,state,nr_flag,nr_reason,rating_numeric,base_risk,risk_score
2024-01,AirBusan,NR,2024-01-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2024-02,AirBusan,NR,2024-02-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2024-03,AirBusan,NR,2024-03-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2024-04,AirBusan,NR,2024-04-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2024-05,AirBusan,NR,2024-05-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2024-06,AirBusan,NR,2024-06-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2024-07,AirBusan,NR,2024-07-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2024-08,AirBusan,NR,2024-08-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2024-09,AirBusan,NR,2024-09-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2024-10,AirBusan,NR,2024-10-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2024-11,AirBusan,NR,2024-11-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2024-12,AirBusan,NR,2024-12-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2025-01,AirBusan,NR,2025-01-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2025-02,AirBusan,NR,2025-02-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2025-03,AirBusan,NR,2025-03-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2025-04,AirBusan,NR,2025-04-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2025-05,AirBusan,NR,2025-05-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2025-06,AirBusan,NR,2025-06-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2025-07,AirBusan,NR,2025-07-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2025-08,AirBusan,NR,2025-08-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2025-09,AirBusan,NR,2025-09-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2025-10,AirBusan,NR,2025-10-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2025-11,AirBusan,NR,2025-11-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
2025-12,AirBusan,NR,2025-12-01,NR,,0,NR,0,,23,0.043478260869565216,0.043478260869565216
