Id,company,date,state,event,nr_flag
1,AirBusan,,NR,,0
2,AirBusan,,NR,,0
3,AirBusan,,NR,,0
4,AirBusan,,NR,,0
5,AirBusan,,NR,,0
6,AirBusan,,BBB+,,0
7,AirBusan,,BBB-,,0
8,AirBusan,,AA,,0
9,AirBusan,,BBB-,,0
10,AirBusan,,BBB-,,0
11,AirBusan,,NR,,0
12,AirBusan,,NR,,0
13,AirBusan,,NR,,0
14,AirBusan,,NR,,0
15,AirBusan,,NR,,0
16,AirBusan,,NR,,0
17,AsianaAirlines,,BBB+,,0
18,AsianaAirlines,,BBB+,,0
19,AsianaAirlines,,BBB+,,0
20,AsianaAirlines,,BBB+,,0
21,AsianaAirlines,,BBB+,,0
22,AsianaAirlines,,BBB+,,0
23,AsianaAirlines,,BBB-,,0
24,AsianaAirlines,,BBB-,,0
25,AsianaAirlines,,BBB-,,0
26,AsianaAirlines,,BBB-,,0
27,AsianaAirlines,,BBB-,,0
28,AsianaAirlines,,BBB-,,0
29,AsianaAirlines,,BBB-,,0
30,AsianaAirlines,,BBB-,,0
31,AsianaAirlines,,BBB-,,0
32,AsianaAirlines,,BBB-,,0
33,JejuAir,,NR,,0
34,JejuAir,,NR,,0
35,JejuAir,,NR,,0
36,JejuAir,,NR,,0
37,JejuAir,,NR,,0
38,JejuAir,,BBB+,,0
39,JejuAir,,NR,,0
40,JejuAir,,NR,,0
41,JejuAir,,BBB+,,0
42,JejuAir,,NR,,0
43,JejuAir,,BBB,,0
44,JejuAir,,BBB,,0
45,JejuAir,,BBB,,0
46,JejuAir,,BBB,,0
47,JejuAir,,BBB,,0
48,JejuAir,,BBB,,0
49,KoreanAir,,A,,0
50,KoreanAir,,A,,0
51,KoreanAir,,A,,0
52,KoreanAir,,A,,0
53,KoreanAir,,BBB+,,0
54,KoreanAir,,BBB+,,0
55,KoreanAir,,BBB,,0
56,KoreanAir,,BBB,,0
57,KoreanAir,,BBB+,,0
58,KoreanAir,,BBB+,,0
59,KoreanAir,,BBB+,,0
60,KoreanAir,,A-,,0
61,KoreanAir,,A-,,0
62,KoreanAir,,A-,,0
63,KoreanAir,,A-,,0
64,KoreanAir,,A,,0
65,TwayAir,,NR,,0
66,TwayAir,,NR,,0
67,TwayAir,,NR,,0
68,TwayAir,,NR,,0
69,TwayAir,,NR,,0
70,TwayAir,,NR,,0
71,TwayAir,,NR,,0
72,TwayAir,,NR,,0
73,TwayAir,,NR,,0
74,TwayAir,,BB-,,0
75,TwayAir,,NR,,0
76,TwayAir,,BB-,,0
77,TwayAir,,BB-,,0
78,TwayAir,,BB-,,0
79,TwayAir,,NR,,0
80,TwayAir,,B+,,0
